50E665605BD6F64B6912DB57F4F473A7,,Versienr,1.01_G1ATST,1.01_G1ARER,1.01_G1ATOP,1.01_G2ATST,1.01_G2ARER,1.01_G2ATOP,1.01_LEEG,1.01_LEEG,1.01_LEEG,1.01_G2CTST,1.01_G2CRER,1.01_G2CTOP
,,Code,G1A_TST,G1A_RER,G1A_TOP,G2A_TST,G2A_RER,G2A_TOP,LEEG,LEEG,LEEG,G2C_TST,G2C_RER,G2C_TOP
,,Toepassingsjaar,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022

CET,CEST
,van,tot
01-01-2022 07:00,01-01-2022 06:00,01-01-2022 07:00,6.867,0.00001879,0.00002220,9.97,0.00001163,0.00001810,,,,9.97,0.00001163,0.00001810
01-01-2022 08:00,01-01-2022 07:00,01-01-2022 08:00,9.233,0.00002253,0.00001926,10.23,0.00000959,0.00001941,,,,10.23,0.00000959,0.00001941
01-01-2022 09:00,01-01-2022 08:00,01-01-2022 09:00,11.471,0.00002285,0.00003594,6.27,0.00001438,0.00002907,,,,6.27,0.00001438,0.00002907
01-01-2022 10:00,01-01-2022 09:00,01-01-2022 10:00,11.002,0.00002557,0.00005024,9.10,0.00001022,0.00004677,,,,9.10,0.00001022,0.00004677
01-01-2022 11:00,01-01-2022 10:00,01-01-2022 11:00,10.126,0.00002514,0.00006810,17.93,0.00000726,0.00003228,,,,17.93,0.00000726,0.00003228
01-01-2022 12:00,01-01-2022 11:00,01-01-2022 12:00,10.178,0.00002334,0.00006449,19.08,0.00000800,0.00002838,,,,19.08,0.00000800,0.00002838
01-01-2022 13:00,01-01-2022 12:00,01-01-2022 13:00,10.916,0.00002034,0.00005226,16.82,0.00001011,0.00003033,,,,16.82,0.00001011,0.00003033
01-01-2022 14:00,01-01-2022 13:00,01-01-2022 14:00,10.482,0.00001992,0.00004437,16.78,0.00000997,0.00002912,,,,16.78,0.00000997,0.00002912
01-01-2022 15:00,01-01-2022 14:00,01-01-2022 15:00,11.179,0.00001843,0.00003303,15.98,0.00000976,0.00002819,,,,15.98,0.00000976,0.00002819
01-01-2022 16:00,01-01-2022 15:00,01-01-2022 16:00,11.297,0.00001804,0.00002869,14.70,0.00001124,0.00002577,,,,14.70,0.00001124,0.00002577
01-01-2022 17:00,01-01-2022 16:00,01-01-2022 17:00,10.884,0.00001986,0.00003281,14.88,0.00000988,0.00002193,,,,14.88,0.00000988,0.00002193
01-01-2022 18:00,01-01-2022 17:00,01-01-2022 18:00,10.606,0.00002002,0.00004336,12.01,0.00001241,0.00002477,,,,12.01,0.00001241,0.00002477
01-01-2022 19:00,01-01-2022 18:00,01-01-2022 19:00,9.700,0.00001990,0.00005546,11.20,0.00001322,0.00002776,,,,11.20,0.00001322,0.00002776
01-01-2022 20:00,01-01-2022 19:00,01-01-2022 20:00,10.555,0.00001914,0.00003505,9.85,0.00001466,0.00002896,,,,9.85,0.00001466,0.00002896
01-01-2022 21:00,01-01-2022 20:00,01-01-2022 21:00,9.573,0.00001906,0.00002972,9.37,0.00001618,0.00003068,,,,9.37,0.00001618,0.00003068
01-01-2022 22:00,01-01-2022 21:00,01-01-2022 22:00,9.203,0.00001711,0.00002299,9.00,0.00001782,0.00003123,,,,9.00,0.00001782,0.00003123
01-01-2022 23:00,01-01-2022 22:00,01-01-2022 23:00,9.346,0.00001239,0.00001418,8.05,0.00002102,0.00003364,,,,8.05,0.00002102,0.00003364
02-01-2022 00:00,01-01-2022 23:00,02-01-2022 00:00,9.108,0.00000755,0.00001124,7.31,0.00002109,0.00002846,,,,7.31,0.00002109,0.00002846
02-01-2022 01:00,02-01-2022 00:00,02-01-2022 01:00,4.920,0.00000928,0.00003055,7.42,0.00001641,0.00002520,,,,7.42,0.00001641,0.00002520
02-01-2022 02:00,02-01-2022 01:00,02-01-2022 02:00,3.632,0.00001039,0.00002970,7.63,0.00001496,0.00002110,,,,7.63,0.00001496,0.00002110
02-01-2022 03:00,02-01-2022 02:00,02-01-2022 03:00,3.454,0.00001165,0.00002930,8.25,0.00001312,0.00001653,,,,8.25,0.00001312,0.00001653
02-01-2022 04:00,02-01-2022 03:00,02-01-2022 04:00,3.611,0.00001253,0.00002833,9.01,0.00001221,0.00001367,,,,9.01,0.00001221,0.00001367
02-01-2022 05:00,02-01-2022 04:00,02-01-2022 05:00,3.452,0.00001394,0.00003175,8.65,0.00001312,0.00001443,,,,8.65,0.00001312,0.00001443
02-01-2022 06:00,02-01-2022 05:00,02-01-2022 06:00,3.586,0.00001740,0.00003638,10.09,0.00001164,0.00001362,,,,10.09,0.00001164,0.00001362
02-01-2022 07:00,02-01-2022 06:00,02-01-2022 07:00,6.867,0.00001879,0.00002220,9.97,0.00001163,0.00001810,,,,9.97,0.00001163,0.00001810
02-01-2022 08:00,02-01-2022 07:00,02-01-2022 08:00,9.233,0.00002253,0.00001926,10.23,0.00000959,0.00001941,,,,10.23,0.00000959,0.00001941
02-01-2022 09:00,02-01-2022 08:00,02-01-2022 09:00,11.471,0.00002285,0.00003594,6.27,0.00001438,0.00002907,,,,6.27,0.00001438,0.00002907
02-01-2022 10:00,02-01-2022 09:00,02-01-2022 10:00,11.002,0.00002557,0.00005024,9.10,0.00001022,0.00004677,,,,9.10,0.00001022,0.00004677
02-01-2022 11:00,02-01-2022 10:00,02-01-2022 11:00,10.126,0.00002514,0.00006810,17.93,0.00000726,0.00003228,,,,17.93,0.00000726,0.00003228
02-01-2022 12:00,02-01-2022 11:00,02-01-2022 12:00,10.178,0.00002334,0.00006449,19.08,0.00000800,0.00002838,,,,19.08,0.00000800,0.00002838
02-01-2022 13:00,02-01-2022 12:00,02-01-2022 13:00,10.916,0.00002034,0.00005226,16.82,0.00001011,0.00003033,,,,16.82,0.00001011,0.00003033
02-01-2022 14:00,02-01-2022 13:00,02-01-2022 14:00,10.482,0.00001992,0.00004437,16.78,0.00000997,0.00002912,,,,16.78,0.00000997,0.00002912
02-01-2022 15:00,02-01-2022 14:00,02-01-2022 15:00,11.179,0.00001843,0.00003303,15.98,0.00000976,0.00002819,,,,15.98,0.00000976,0.00002819
02-01-2022 16:00,02-01-2022 15:00,02-01-2022 16:00,11.297,0.00001804,0.00002869,14.70,0.00001124,0.00002577,,,,14.70,0.00001124,0.00002577
02-01-2022 17:00,02-01-2022 16:00,02-01-2022 17:00,10.884,0.00001986,0.00003281,14.88,0.00000988,0.00002193,,,,14.88,0.00000988,0.00002193
02-01-2022 18:00,02-01-2022 17:00,02-01-2022 18:00,10.606,0.00002002,0.00004336,12.01,0.00001241,0.00002477,,,,12.01,0.00001241,0.00002477
02-01-2022 19:00,02-01-2022 18:00,02-01-2022 19:00,9.700,0.00001990,0.00005546,11.20,0.00001322,0.00002776,,,,11.20,0.00001322,0.00002776
02-01-2022 20:00,02-01-2022 19:00,02-01-2022 20:00,10.555,0.00001914,0.00003505,9.85,0.00001466,0.00002896,,,,9.85,0.00001466,0.00002896
02-01-2022 21:00,02-01-2022 20:00,02-01-2022 21:00,9.573,0.00001906,0.00002972,9.37,0.00001618,0.00003068,,,,9.37,0.00001618,0.00003068
02-01-2022 22:00,02-01-2022 21:00,02-01-2022 22:00,9.203,0.00001711,0.00002299,9.00,0.00001782,0.00003123,,,,9.00,0.00001782,0.00003123
02-01-2022 23:00,02-01-2022 22:00,02-01-2022 23:00,9.346,0.00001239,0.00001418,8.05,0.00002102,0.00003364,,,,8.05,0.00002102,0.00003364
03-01-2022 00:00,02-01-2022 23:00,03-01-2022 00:00,9.108,0.00000755,0.00001124,7.31,0.00002109,0.00002846,,,,7.31,0.00002109,0.00002846
03-01-2022 01:00,03-01-2022 00:00,03-01-2022 01:00,6.336,0.00000733,0.00001903,7.54,0.00001675,0.00002349,,,,7.54,0.00001675,0.00002349
03-01-2022 02:00,03-01-2022 01:00,03-01-2022 02:00,5.338,0.00000861,0.00001989,7.94,0.00001471,0.00001815,,,,7.94,0.00001471,0.00001815
03-01-2022 03:00,03-01-2022 02:00,03-01-2022 03:00,4.907,0.00001012,0.00002150,8.31,0.00001355,0.00001525,,,,8.31,0.00001355,0.00001525
03-01-2022 04:00,03-01-2022 03:00,03-01-2022 04:00,4.498,0.00001197,0.00002420,8.80,0.00001308,0.00001519,,,,8.80,0.00001308,0.00001519
03-01-2022 05:00,03-01-2022 04:00,03-01-2022 05:00,4.392,0.00001480,0.00002870,9.79,0.00001269,0.00001416,,,,9.79,0.00001269,0.00001416
03-01-2022 06:00,03-01-2022 05:00,03-01-2022 06:00,5.851,0.00001828,0.00003327,10.35,0.00001269,0.00001540,,,,10.35,0.00001269,0.00001540
03-01-2022 07:00,03-01-2022 06:00,03-01-2022 07:00,8.227,0.00002122,0.00003480,9.43,0.00001699,0.00003500,,,,9.43,0.00001699,0.00003500
03-01-2022 08:00,03-01-2022 07:00,03-01-2022 08:00,9.667,0.00002357,0.00003120,10.27,0.00001804,0.00006595,,,,10.27,0.00001804,0.00006595
03-01-2022 09:00,03-01-2022 08:00,03-01-2022 09:00,10.256,0.00002419,0.00003632,11.86,0.00001480,0.00005423,,,,11.86,0.00001480,0.00005423
03-01-2022 10:00,03-01-2022 09:00,03-01-2022 10:00,9.876,0.00002423,0.00004792,13.98,0.00001246,0.00004324,,,,13.98,0.00001246,0.00004324
03-01-2022 11:00,03-01-2022 10:00,03-01-2022 11:00,9.725,0.00002285,0.00004914,15.13,0.00001246,0.00003904,,,,15.13,0.00001246,0.00003904
03-01-2022 12:00,03-01-2022 11:00,03-01-2022 12:00,9.871,0.00002182,0.00004595,15.97,0.00001243,0.00003113,,,,15.97,0.00001243,0.00003113
03-01-2022 13:00,03-01-2022 12:00,03-01-2022 13:00,10.028,0.00002092,0.00004419,16.43,0.00001240,0.00002750,,,,16.43,0.00001240,0.00002750
03-01-2022 14:00,03-01-2022 13:00,03-01-2022 14:00,10.195,0.00002074,0.00003530,15.89,0.00001210,0.00003136,,,,15.89,0.00001210,0.00003136
03-01-2022 15:00,03-01-2022 14:00,03-01-2022 15:00,10.178,0.00002122,0.00003164,15.38,0.00001197,0.00002873,,,,15.38,0.00001197,0.00002873
03-01-2022 16:00,03-01-2022 15:00,03-01-2022 16:00,10.033,0.00002252,0.00003358,14.93,0.00001153,0.00002629,,,,14.93,0.00001153,0.00002629
03-01-2022 17:00,03-01-2022 16:00,03-01-2022 17:00,11.011,0.00002271,0.00003538,13.51,0.00001165,0.00002276,,,,13.51,0.00001165,0.00002276
03-01-2022 18:00,03-01-2022 17:00,03-01-2022 18:00,11.153,0.00002245,0.00005113,11.25,0.00001376,0.00002203,,,,11.25,0.00001376,0.00002203
03-01-2022 19:00,03-01-2022 18:00,03-01-2022 19:00,10.661,0.00002208,0.00004874,10.96,0.00001331,0.00003216,,,,10.96,0.00001331,0.00003216
03-01-2022 20:00,03-01-2022 19:00,03-01-2022 20:00,10.029,0.00002232,0.00004575,8.93,0.00001393,0.00003937,,,,8.93,0.00001393,0.00003937
03-01-2022 21:00,03-01-2022 20:00,03-01-2022 21:00,9.338,0.00002113,0.00004023,8.84,0.00001525,0.00003578,,,,8.84,0.00001525,0.00003578
03-01-2022 22:00,03-01-2022 21:00,03-01-2022 22:00,9.029,0.00001862,0.00002872,8.63,0.00001741,0.00003628,,,,8.63,0.00001741,0.00003628
03-01-2022 23:00,03-01-2022 22:00,03-01-2022 23:00,8.837,0.00001324,0.00002211,7.94,0.00002013,0.00003827,,,,7.94,0.00002013,0.00003827
04-01-2022 00:00,03-01-2022 23:00,04-01-2022 00:00,8.153,0.00000813,0.00001752,7.45,0.00001950,0.00003335,,,,7.45,0.00001950,0.00003335
04-01-2022 01:00,04-01-2022 00:00,04-01-2022 01:00,6.336,0.00000733,0.00001903,7.54,0.00001675,0.00002349,,,,7.54,0.00001675,0.00002349
04-01-2022 02:00,04-01-2022 01:00,04-01-2022 02:00,5.338,0.00000861,0.00001989,7.94,0.00001471,0.00001815,,,,7.94,0.00001471,0.00001815
04-01-2022 03:00,04-01-2022 02:00,04-01-2022 03:00,4.907,0.00001012,0.00002150,8.31,0.00001355,0.00001525,,,,8.31,0.00001355,0.00001525
04-01-2022 04:00,04-01-2022 03:00,04-01-2022 04:00,4.498,0.00001197,0.00002420,8.80,0.00001308,0.00001519,,,,8.80,0.00001308,0.00001519
04-01-2022 05:00,04-01-2022 04:00,04-01-2022 05:00,4.392,0.00001480,0.00002870,9.79,0.00001269,0.00001416,,,,9.79,0.00001269,0.00001416
04-01-2022 06:00,04-01-2022 05:00,04-01-2022 06:00,5.851,0.00001828,0.00003327,10.35,0.00001269,0.00001540,,,,10.35,0.00001269,0.00001540
04-01-2022 07:00,04-01-2022 06:00,04-01-2022 07:00,8.227,0.00002122,0.00003480,9.43,0.00001699,0.00003500,,,,9.43,0.00001699,0.00003500
04-01-2022 08:00,04-01-2022 07:00,04-01-2022 08:00,9.667,0.00002357,0.00003120,10.27,0.00001804,0.00006595,,,,10.27,0.00001804,0.00006595
04-01-2022 09:00,04-01-2022 08:00,04-01-2022 09:00,10.256,0.00002419,0.00003632,11.86,0.00001480,0.00005423,,,,11.86,0.00001480,0.00005423
04-01-2022 10:00,04-01-2022 09:00,04-01-2022 10:00,9.876,0.00002423,0.00004792,13.98,0.00001246,0.00004324,,,,13.98,0.00001246,0.00004324
04-01-2022 11:00,04-01-2022 10:00,04-01-2022 11:00,9.725,0.00002285,0.00004914,15.13,0.00001246,0.00003904,,,,15.13,0.00001246,0.00003904
04-01-2022 12:00,04-01-2022 11:00,04-01-2022 12:00,9.871,0.00002182,0.00004595,15.97,0.00001243,0.00003113,,,,15.97,0.00001243,0.00003113
04-01-2022 13:00,04-01-2022 12:00,04-01-2022 13:00,10.028,0.00002092,0.00004419,16.43,0.00001240,0.00002750,,,,16.43,0.00001240,0.00002750
04-01-2022 14:00,04-01-2022 13:00,04-01-2022 14:00,10.195,0.00002074,0.00003530,15.89,0.00001210,0.00003136,,,,15.89,0.00001210,0.00003136
04-01-2022 15:00,04-01-2022 14:00,04-01-2022 15:00,10.178,0.00002122,0.00003164,15.38,0.00001197,0.00002873,,,,15.38,0.00001197,0.00002873
04-01-2022 16:00,04-01-2022 15:00,04-01-2022 16:00,10.033,0.00002252,0.00003358,14.93,0.00001153,0.00002629,,,,14.93,0.00001153,0.00002629
04-01-2022 17:00,04-01-2022 16:00,04-01-2022 17:00,11.011,0.00002271,0.00003538,13.51,0.00001165,0.00002276,,,,13.51,0.00001165,0.00002276
04-01-2022 18:00,04-01-2022 17:00,04-01-2022 18:00,11.153,0.00002245,0.00005113,11.25,0.00001376,0.00002203,,,,11.25,0.00001376,0.00002203
04-01-2022 19:00,04-01-2022 18:00,04-01-2022 19:00,10.661,0.00002208,0.00004874,10.96,0.00001331,0.00003216,,,,10.96,0.00001331,0.00003216
04-01-2022 20:00,04-01-2022 19:00,04-01-2022 20:00,10.029,0.00002232,0.00004575,8.93,0.00001393,0.00003937,,,,8.93,0.00001393,0.00003937
04-01-2022 21:00,04-01-2022 20:00,04-01-2022 21:00,9.338,0.00002113,0.00004023,8.84,0.00001525,0.00003578,,,,8.84,0.00001525,0.00003578
04-01-2022 22:00,04-01-2022 21:00,04-01-2022 22:00,9.029,0.00001862,0.00002872,8.63,0.00001741,0.00003628,,,,8.63,0.00001741,0.00003628
04-01-2022 23:00,04-01-2022 22:00,04-01-2022 23:00,8.837,0.00001324,0.00002211,7.94,0.00002013,0.00003827,,,,7.94,0.00002013,0.00003827
05-01-2022 00:00,04-01-2022 23:00,05-01-2022 00:00,8.153,0.00000813,0.00001752,7.45,0.00001950,0.00003335,,,,7.45,0.00001950,0.00003335
05-01-2022 01:00,05-01-2022 00:00,05-01-2022 01:00,6.336,0.00000733,0.00001903,7.54,0.00001675,0.00002349,,,,7.54,0.00001675,0.00002349
05-01-2022 02:00,05-01-2022 01:00,05-01-2022 02:00,5.338,0.00000861,0.00001989,7.94,0.00001471,0.00001815,,,,7.94,0.00001471,0.00001815
05-01-2022 03:00,05-01-2022 02:00,05-01-2022 03:00,4.907,0.00001012,0.00002150,8.31,0.00001355,0.00001525,,,,8.31,0.00001355,0.00001525
05-01-2022 04:00,05-01-2022 03:00,05-01-2022 04:00,4.498,0.00001197,0.00002420,8.80,0.00001308,0.00001519,,,,8.80,0.00001308,0.00001519
05-01-2022 05:00,05-01-2022 04:00,05-01-2022 05:00,4.392,0.00001480,0.00002870,9.79,0.00001269,0.00001416,,,,9.79,0.00001269,0.00001416
05-01-2022 06:00,05-01-2022 05:00,05-01-2022 06:00,5.851,0.00001828,0.00003327,10.35,0.00001269,0.00001540,,,,10.35,0.00001269,0.00001540
05-01-2022 07:00,05-01-2022 06:00,05-01-2022 07:00,8.227,0.00002122,0.00003480,9.43,0.00001699,0.00003500,,,,9.43,0.00001699,0.00003500
05-01-2022 08:00,05-01-2022 07:00,05-01-2022 08:00,9.667,0.00002357,0.00003120,10.27,0.00001804,0.00006595,,,,10.27,0.00001804,0.00006595
05-01-2022 09:00,05-01-2022 08:00,05-01-2022 09:00,10.256,0.00002419,0.00003632,11.86,0.00001480,0.00005423,,,,11.86,0.00001480,0.00005423
05-01-2022 10:00,05-01-2022 09:00,05-01-2022 10:00,9.876,0.00002423,0.00004792,13.98,0.00001246,0.00004324,,,,13.98,0.00001246,0.00004324
05-01-2022 11:00,05-01-2022 10:00,05-01-2022 11:00,9.725,0.00002285,0.00004914,15.13,0.00001246,0.00003904,,,,15.13,0.00001246,0.00003904
05-01-2022 12:00,05-01-2022 11:00,05-01-2022 12:00,9.871,0.00002182,0.00004595,15.97,0.00001243,0.00003113,,,,15.97,0.00001243,0.00003113
05-01-2022 13:00,05-01-2022 12:00,05-01-2022 13:00,10.028,0.00002092,0.00004419,16.43,0.00001240,0.00002750,,,,16.43,0.00001240,0.00002750
05-01-2022 14:00,05-01-2022 13:00,05-01-2022 14:00,10.195,0.00002074,0.00003530,15.89,0.00001210,0.00003136,,,,15.89,0.00001210,0.00003136
05-01-2022 15:00,05-01-2022 14:00,05-01-2022 15:00,10.178,0.00002122,0.00003164,15.38,0.00001197,0.00002873,,,,15.38,0.00001197,0.00002873
05-01-2022 16:00,05-01-2022 15:00,05-01-2022 16:00,10.033,0.00002252,0.00003358,14.93,0.00001153,0.00002629,,,,14.93,0.00001153,0.00002629
05-01-2022 17:00,05-01-2022 16:00,05-01-2022 17:00,11.011,0.00002271,0.00003538,13.51,0.00001165,0.00002276,,,,13.51,0.00001165,0.00002276
05-01-2022 18:00,05-01-2022 17:00,05-01-2022 18:00,11.153,0.00002245,0.00005113,11.25,0.00001376,0.00002203,,,,11.25,0.00001376,0.00002203
05-01-2022 19:00,05-01-2022 18:00,05-01-2022 19:00,10.661,0.00002208,0.00004874,10.96,0.00001331,0.00003216,,,,10.96,0.00001331,0.00003216
05-01-2022 20:00,05-01-2022 19:00,05-01-2022 20:00,10.029,0.00002232,0.00004575,8.93,0.00001393,0.00003937,,,,8.93,0.00001393,0.00003937
05-01-2022 21:00,05-01-2022 20:00,05-01-2022 21:00,9.338,0.00002113,0.00004023,8.84,0.00001525,0.00003578,,,,8.84,0.00001525,0.00003578
05-01-2022 22:00,05-01-2022 21:00,05-01-2022 22:00,9.029,0.00001862,0.00002872,8.63,0.00001741,0.00003628,,,,8.63,0.00001741,0.00003628
05-01-2022 23:00,05-01-2022 22:00,05-01-2022 23:00,8.837,0.00001324,0.00002211,7.94,0.00002013,0.00003827,,,,7.94,0.00002013,0.00003827
06-01-2022 00:00,05-01-2022 23:00,06-01-2022 00:00,8.153,0.00000813,0.00001752,7.45,0.00001950,0.00003335,,,,7.45,0.00001950,0.00003335
06-01-2022 01:00,06-01-2022 00:00,06-01-2022 01:00,6.336,0.00000733,0.00001903,7.54,0.00001675,0.00002349,,,,7.54,0.00001675,0.00002349
06-01-2022 02:00,06-01-2022 01:00,06-01-2022 02:00,5.338,0.00000861,0.00001989,7.94,0.00001471,0.00001815,,,,7.94,0.00001471,0.00001815
06-01-2022 03:00,06-01-2022 02:00,06-01-2022 03:00,4.907,0.00001012,0.00002150,8.31,0.00001355,0.00001525,,,,8.31,0.00001355,0.00001525
06-01-2022 04:00,06-01-2022 03:00,06-01-2022 04:00,4.498,0.00001197,0.00002420,8.80,0.00001308,0.00001519,,,,8.80,0.00001308,0.00001519
06-01-2022 05:00,06-01-2022 04:00,06-01-2022 05:00,4.392,0.00001480,0.00002870,9.79,0.00001269,0.00001416,,,,9.79,0.00001269,0.00001416
06-01-2022 06:00,06-01-2022 05:00,06-01-2022 06:00,5.851,0.00001828,0.00003327,10.35,0.00001269,0.00001540,,,,10.35,0.00001269,0.00001540
06-01-2022 07:00,06-01-2022 06:00,06-01-2022 07:00,8.227,0.00002122,0.00003480,9.43,0.00001699,0.00003500,,,,9.43,0.00001699,0.00003500
06-01-2022 08:00,06-01-2022 07:00,06-01-2022 08:00,9.667,0.00002357,0.00003120,10.27,0.00001804,0.00006595,,,,10.27,0.00001804,0.00006595
06-01-2022 09:00,06-01-2022 08:00,06-01-2022 09:00,10.256,0.00002419,0.00003632,11.86,0.00001480,0.00005423,,,,11.86,0.00001480,0.00005423
06-01-2022 10:00,06-01-2022 09:00,06-01-2022 10:00,9.876,0.00002423,0.00004792,13.98,0.00001246,0.00004324,,,,13.98,0.00001246,0.00004324
06-01-2022 11:00,06-01-2022 10:00,06-01-2022 11:00,9.725,0.00002285,0.00004914,15.13,0.00001246,0.00003904,,,,15.13,0.00001246,0.00003904
06-01-2022 12:00,06-01-2022 11:00,06-01-2022 12:00,9.871,0.00002182,0.00004595,15.97,0.00001243,0.00003113,,,,15.97,0.00001243,0.00003113
06-01-2022 13:00,06-01-2022 12:00,06-01-2022 13:00,10.028,0.00002092,0.00004419,16.43,0.00001240,0.00002750,,,,16.43,0.00001240,0.00002750
06-01-2022 14:00,06-01-2022 13:00,06-01-2022 14:00,10.195,0.00002074,0.00003530,15.89,0.00001210,0.00003136,,,,15.89,0.00001210,0.00003136
06-01-2022 15:00,06-01-2022 14:00,06-01-2022 15:00,10.178,0.00002122,0.00003164,15.38,0.00001197,0.00002873,,,,15.38,0.00001197,0.00002873
06-01-2022 16:00,06-01-2022 15:00,06-01-2022 16:00,10.033,0.00002252,0.00003358,14.93,0.00001153,0.00002629,,,,14.93,0.00001153,0.00002629
06-01-2022 17:00,06-01-2022 16:00,06-01-2022 17:00,11.011,0.00002271,0.00003538,13.51,0.00001165,0.00002276,,,,13.51,0.00001165,0.00002276
06-01-2022 18:00,06-01-2022 17:00,06-01-2022 18:00,11.153,0.00002245,0.00005113,11.25,0.00001376,0.00002203,,,,11.25,0.00001376,0.00002203
06-01-2022 19:00,06-01-2022 18:00,06-01-2022 19:00,10.661,0.00002208,0.00004874,10.96,0.00001331,0.00003216,,,,10.96,0.00001331,0.00003216
06-01-2022 20:00,06-01-2022 19:00,06-01-2022 20:00,10.029,0.00002232,0.00004575,8.93,0.00001393,0.00003937,,,,8.93,0.00001393,0.00003937
06-01-2022 21:00,06-01-2022 20:00,06-01-2022 21:00,9.338,0.00002113,0.00004023,8.84,0.00001525,0.00003578,,,,8.84,0.00001525,0.00003578
06-01-2022 22:00,06-01-2022 21:00,06-01-2022 22:00,9.029,0.00001862,0.00002872,8.63,0.00001741,0.00003628,,,,8.63,0.00001741,0.00003628
06-01-2022 23:00,06-01-2022 22:00,06-01-2022 23:00,8.837,0.00001324,0.00002211,7.94,0.00002013,0.00003827,,,,7.94,0.00002013,0.00003827
07-01-2022 00:00,06-01-2022 23:00,07-01-2022 00:00,8.153,0.00000813,0.00001752,7.45,0.00001950,0.00003335,,,,7.45,0.00001950,0.00003335
07-01-2022 01:00,07-01-2022 00:00,07-01-2022 01:00,6.336,0.00000733,0.00001903,7.54,0.00001675,0.00002349,,,,7.54,0.00001675,0.00002349
07-01-2022 02:00,07-01-2022 01:00,07-01-2022 02:00,5.338,0.00000861,0.00001989,7.94,0.00001471,0.00001815,,,,7.94,0.00001471,0.00001815
07-01-2022 03:00,07-01-2022 02:00,07-01-2022 03:00,4.907,0.00001012,0.00002150,8.31,0.00001355,0.00001525,,,,8.31,0.00001355,0.00001525
07-01-2022 04:00,07-01-2022 03:00,07-01-2022 04:00,4.498,0.00001197,0.00002420,8.80,0.00001308,0.00001519,,,,8.80,0.00001308,0.00001519
07-01-2022 05:00,07-01-2022 04:00,07-01-2022 05:00,4.392,0.00001480,0.00002870,9.79,0.00001269,0.00001416,,,,9.79,0.00001269,0.00001416
07-01-2022 06:00,07-01-2022 05:00,07-01-2022 06:00,5.851,0.00001828,0.00003327,10.35,0.00001269,0.00001540,,,,10.35,0.00001269,0.00001540
07-01-2022 07:00,07-01-2022 06:00,07-01-2022 07:00,8.227,0.00002122,0.00003480,9.43,0.00001699,0.00003500,,,,9.43,0.00001699,0.00003500
07-01-2022 08:00,07-01-2022 07:00,07-01-2022 08:00,9.667,0.00002357,0.00003120,10.27,0.00001804,0.00006595,,,,10.27,0.00001804,0.00006595
07-01-2022 09:00,07-01-2022 08:00,07-01-2022 09:00,10.256,0.00002419,0.00003632,11.86,0.00001480,0.00005423,,,,11.86,0.00001480,0.00005423
07-01-2022 10:00,07-01-2022 09:00,07-01-2022 10:00,9.876,0.00002423,0.00004792,13.98,0.00001246,0.00004324,,,,13.98,0.00001246,0.00004324
07-01-2022 11:00,07-01-2022 10:00,07-01-2022 11:00,9.725,0.00002285,0.00004914,15.13,0.00001246,0.00003904,,,,15.13,0.00001246,0.00003904
07-01-2022 12:00,07-01-2022 11:00,07-01-2022 12:00,9.871,0.00002182,0.00004595,15.97,0.00001243,0.00003113,,,,15.97,0.00001243,0.00003113
07-01-2022 13:00,07-01-2022 12:00,07-01-2022 13:00,10.028,0.00002092,0.00004419,16.43,0.00001240,0.00002750,,,,16.43,0.00001240,0.00002750
07-01-2022 14:00,07-01-2022 13:00,07-01-2022 14:00,10.195,0.00002074,0.00003530,15.89,0.00001210,0.00003136,,,,15.89,0.00001210,0.00003136
07-01-2022 15:00,07-01-2022 14:00,07-01-2022 15:00,10.178,0.00002122,0.00003164,15.38,0.00001197,0.00002873,,,,15.38,0.00001197,0.00002873
07-01-2022 16:00,07-01-2022 15:00,07-01-2022 16:00,10.033,0.00002252,0.00003358,14.93,0.00001153,0.00002629,,,,14.93,0.00001153,0.00002629
07-01-2022 17:00,07-01-2022 16:00,07-01-2022 17:00,11.011,0.00002271,0.00003538,13.51,0.00001165,0.00002276,,,,13.51,0.00001165,0.00002276
07-01-2022 18:00,07-01-2022 17:00,07-01-2022 18:00,11.153,0.00002245,0.00005113,11.25,0.00001376,0.00002203,,,,11.25,0.00001376,0.00002203
07-01-2022 19:00,07-01-2022 18:00,07-01-2022 19:00,10.661,0.00002208,0.00004874,10.96,0.00001331,0.00003216,,,,10.96,0.00001331,0.00003216
07-01-2022 20:00,07-01-2022 19:00,07-01-2022 20:00,10.029,0.00002232,0.00004575,8.93,0.00001393,0.00003937,,,,8.93,0.00001393,0.00003937
07-01-2022 21:00,07-01-2022 20:00,07-01-2022 21:00,9.338,0.00002113,0.00004023,8.84,0.00001525,0.00003578,,,,8.84,0.00001525,0.00003578
07-01-2022 22:00,07-01-2022 21:00,07-01-2022 22:00,9.029,0.00001862,0.00002872,8.63,0.00001741,0.00003628,,,,8.63,0.00001741,0.00003628
07-01-2022 23:00,07-01-2022 22:00,07-01-2022 23:00,8.837,0.00001324,0.00002211,7.94,0.00002013,0.00003827,,,,7.94,0.00002013,0.00003827
08-01-2022 00:00,07-01-2022 23:00,08-01-2022 00:00,8.153,0.00000813,0.00001752,7.45,0.00001950,0.00003335,,,,7.45,0.00001950,0.00003335
08-01-2022 01:00,08-01-2022 00:00,08-01-2022 01:00,5.971,0.00000822,0.00002343,7.87,0.00001637,0.00002261,,,,7.87,0.00001637,0.00002261
